ATLAS Name,RA (degrees),Dec (degrees),A_g,A_r,A_i
ATLAS18ebi,163.504332,-16.022679,0.225,0.155,0.115
ATLAS18ebw,136.499091,35.373226,0.114,0.079,0.059
ATLAS18ebx,197.164714,-41.454546,0.371,0.257,0.191
ATLAS18eby,336.185165,12.360595,0.242,0.167,0.124
ATLAS18eca,199.238944,-16.617828,0.272,0.188,0.14
ATLAS18ecb,149.525503,10.359296,0.126,0.087,0.065
ATLAS18lrl,199.980596,-47.284858,0.463,0.32,0.238
ATLAS18ltg,161.637786,13.741886,0.095,0.066,0.049
ATLAS18ltl,133.419053,-25.058878,0.532,0.368,0.273
ATLAS18lun,248.009504,78.211368,0.144,0.1,0.074
ATLAS18lww,29.33514,40.602497,0.198,0.137,0.102
ATLAS18lwy,136.664902,19.3381,0.149,0.103,0.077
ATLAS18lzd,97.607043,40.067325,0.558,0.386,0.287
ATLAS18mbq,194.201599,3.890955,0.099,0.069,0.051
ATLAS18mbv,178.744633,6.329804,0.043,0.03,0.022
ATLAS18mci,178.23236,36.986233,0.07,0.048,0.036
ATLAS18mcm,216.797656,-2.269739,0.182,0.126,0.094
ATLAS18mdq,5.55718,10.491053,0.383,0.265,0.197
ATLAS18mfr,227.356315,25.471544,0.165,0.114,0.085
ATLAS18mgv,291.831447,65.565073,0.285,0.197,0.146
ATLAS18mhq,193.451123,-39.69708,0.352,0.243,0.181
ATLAS18mid,80.634849,-11.487222,0.502,0.347,0.258
ATLAS18miu,103.525041,8.572474,0.72,0.498,0.37
ATLAS18mix,94.51336,78.366945,0.318,0.22,0.163
ATLAS18mjd,207.169728,43.418414,0.059,0.041,0.031
ATLAS18mkz,205.682987,-24.335084,0.235,0.163,0.121
ATLAS18mla,126.039175,57.287001,0.269,0.186,0.138
ATLAS18mle,153.451128,38.763139,0.043,0.03,0.022
ATLAS18mlg,210.912615,-33.978601,0.24,0.166,0.123
ATLAS18mok,186.493843,4.474073,0.061,0.042,0.031
ATLAS18mrg,195.811265,7.802255,0.101,0.07,0.052
ATLAS18mti,119.85423,16.426283,0.118,0.081,0.06
ATLAS18mtp,243.753339,31.071939,0.103,0.071,0.053
ATLAS18mtq,224.289617,19.699985,0.107,0.074,0.055
ATLAS18muy,129.131064,-11.828012,0.202,0.14,0.104
ATLAS18muz,218.333257,41.267311,0.045,0.031,0.023
ATLAS18mvk,245.78262,39.314966,0.03,0.021,0.016
ATLAS18mvm,96.765683,-25.639829,0.251,0.174,0.129
ATLAS18myy,181.361129,20.299126,0.124,0.085,0.063
ATLAS18mza,182.659262,39.39664,0.088,0.061,0.045
ATLAS18mzc,177.757564,-28.744079,0.278,0.192,0.143
ATLAS18mzf,162.106062,-25.159951,0.25,0.173,0.128
ATLAS18mzg,172.805541,34.201038,0.085,0.059,0.044
ATLAS18mzh,161.402365,-23.003013,0.207,0.143,0.106
ATLAS18mzi,150.846833,-26.182247,0.112,0.077,0.057
ATLAS18neu,53.478937,68.114936,2.715,1.878,1.396
ATLAS18nfn,203.468944,-37.732975,0.21,0.145,0.108
ATLAS18nfo,210.517186,-25.661428,0.228,0.158,0.117
ATLAS18nfu,191.27187,-44.006412,0.33,0.228,0.17
ATLAS18nlu,109.483074,40.985522,0.213,0.147,0.109
ATLAS18nsp,175.283191,24.819664,0.084,0.058,0.043
ATLAS18ntn,269.417718,50.038647,0.139,0.096,0.071
ATLAS18nun,255.774556,-10.742471,1.765,1.221,0.907
ATLAS18nvi,233.006522,68.241909,0.091,0.063,0.047
ATLAS18nvj,166.066679,50.030629,0.064,0.044,0.033
ATLAS18odq,188.934686,-0.221193,0.075,0.052,0.039
ATLAS18odr,176.436765,-11.788067,0.078,0.054,0.04
ATLAS18ofk,261.413157,59.44678,0.099,0.068,0.051
ATLAS18ojz,223.598375,73.178334,0.088,0.061,0.045
ATLAS18piz,217.129029,37.067841,0.029,0.02,0.015
ATLAS18pjs,279.304402,36.93497,0.203,0.141,0.104
ATLAS18ppg,215.181027,13.695373,0.079,0.055,0.041
ATLAS18pzo,205.327502,-4.346295,0.113,0.078,0.058
ATLAS18qap,277.738784,29.879817,0.534,0.369,0.274
ATLAS18qch,152.617563,2.230211,0.156,0.108,0.08
ATLAS18qga,344.227393,-37.339487,0.048,0.033,0.025
ATLAS18qgb,3.507145,-23.193202,0.07,0.048,0.036
ATLAS18qlj,234.686912,-3.276356,0.783,0.542,0.403
ATLAS18qpu,331.405649,44.837676,1.372,0.949,0.705
ATLAS18qpy,254.770989,47.236449,0.089,0.062,0.046
ATLAS18qqn,244.000944,22.268028,0.287,0.198,0.147
ATLAS18qtd,145.089448,-6.98881,0.102,0.07,0.052
ATLAS18qzm,246.096324,-34.252369,2.25,1.556,1.157
ATLAS18qzn,209.420481,17.508095,0.103,0.071,0.053
ATLAS18ron,188.845704,29.492191,0.076,0.052,0.039
ATLAS18rpi,295.395067,3.658096,1.079,0.747,0.555
ATLAS18rpj,194.788018,37.316731,0.049,0.034,0.025
ATLAS18rqk,281.559838,35.968694,0.293,0.203,0.151
ATLAS18rrm,190.682766,34.107358,0.06,0.041,0.031
ATLAS18rso,21.466808,-1.367085,0.145,0.1,0.074
ATLAS18rsp,12.771915,-7.063264,0.184,0.127,0.095
ATLAS18rub,233.535371,56.696857,0.06,0.042,0.031
ATLAS18ruv,201.404777,36.384447,0.042,0.029,0.022
ATLAS18rvf,332.058941,-25.061479,0.127,0.088,0.065
ATLAS18rvl,22.613272,-26.784929,0.059,0.041,0.03
ATLAS18ryg,185.19292,-6.967143,0.13,0.09,0.067
ATLAS18rzj,267.02214,52.223704,0.136,0.094,0.07
ATLAS18sae,212.464064,-30.741188,0.22,0.152,0.113
ATLAS18saf,325.88723,43.549478,1.756,1.215,0.903
ATLAS18sag,211.644597,-5.450462,0.081,0.056,0.042
ATLAS18sah,209.660274,7.217086,0.093,0.064,0.048
ATLAS18sdr,313.829404,0.538551,0.271,0.187,0.139
ATLAS18sea,222.324962,-30.289527,0.44,0.304,0.226
ATLAS18shv,330.173786,19.666148,0.293,0.202,0.15
ATLAS18sjz,274.05451,55.590902,0.155,0.107,0.08
ATLAS18skj,307.148171,25.735655,1.462,1.012,0.752
ATLAS18sld,310.479122,64.214626,0.953,0.659,0.49
ATLAS18sli,24.722176,-42.589554,0.064,0.044,0.033
ATLAS18snp,173.178751,62.432681,0.039,0.027,0.02
ATLAS18sqt,54.896394,-6.325052,0.147,0.102,0.076
ATLAS18ssn,3.360428,17.488762,0.184,0.128,0.095
ATLAS18sst,221.290559,9.273833,0.096,0.067,0.049
ATLAS18svs,332.648582,-27.249638,0.082,0.057,0.042
ATLAS18svt,211.643285,-34.301133,0.219,0.151,0.112
ATLAS18swa,229.869277,-9.880531,0.389,0.269,0.2
ATLAS18swj,275.7886,21.248987,0.574,0.397,0.295
ATLAS18swn,233.950683,21.738814,0.182,0.126,0.093
ATLAS18swt,336.1015,18.071943,0.207,0.143,0.106
ATLAS18taz,352.471747,27.378021,0.22,0.152,0.113
ATLAS18tbb,226.461333,16.258467,0.094,0.065,0.048
ATLAS18tch,307.050227,-3.13634,0.209,0.145,0.108
