ATLAS Name,RA (degrees),Dec (degrees)
ATLAS18odq,188.934686,-0.221193
ATLAS18odr,176.436765,-11.788067
ATLAS18ofk,261.413157,59.44678
ATLAS18ojz,223.598375,73.178334
ATLAS18piz,217.129029,37.067841
ATLAS18pjs,279.304402,36.93497
ATLAS18ppg,215.181027,13.695373
ATLAS18pzo,205.327502,-4.346295
ATLAS18qap,277.738784,29.879817
ATLAS18qch,152.617563,2.230211
ATLAS18qga,344.227393,-37.339487
ATLAS18qgb,3.507145,-23.193202
ATLAS18qlj,234.686912,-3.276356
ATLAS18qpu,331.405649,44.837676
ATLAS18qpy,254.770989,47.236449
ATLAS18qqn,244.000944,22.268028
ATLAS18qtd,145.089448,-6.98881
ATLAS18qzm,246.096324,-34.252369
ATLAS18qzn,209.420481,17.508095
ATLAS18ron,188.845704,29.492191
ATLAS18rpi,295.395067,3.658096
ATLAS18rpj,194.788018,37.316731
ATLAS18rqk,281.559838,35.968694
ATLAS18rrm,190.682766,34.107358
ATLAS18rso,21.466808,-1.367085
ATLAS18rsp,12.771915,-7.063264
ATLAS18rub,233.535371,56.696857
ATLAS18ruv,201.404777,36.384447
ATLAS18rvf,332.058941,-25.061479
ATLAS18rvl,22.613272,-26.784929
ATLAS18ryg,185.19292,-6.967143
ATLAS18rzj,267.02214,52.223704
ATLAS18sae,212.464064,-30.741188
ATLAS18saf,325.88723,43.549478
ATLAS18sag,211.644597,-5.450462
ATLAS18sah,209.660274,7.217086
ATLAS18sdr,313.829404,0.538551
ATLAS18sea,222.324962,-30.289527
ATLAS18shv,330.173786,19.666148
ATLAS18sjz,274.05451,55.590902
ATLAS18skj,307.148171,25.735655
ATLAS18sld,310.479122,64.214626
ATLAS18sli,24.722176,-42.589554
ATLAS18snp,173.178751,62.432681
ATLAS18sqt,54.896394,-6.325052
ATLAS18ssn,3.360428,17.488762
ATLAS18sst,221.290559,9.273833
ATLAS18svs,332.648582,-27.249638
ATLAS18svt,211.643285,-34.301133
ATLAS18swa,229.869277,-9.880531
ATLAS18swj,275.7886,21.248987
ATLAS18swn,233.950683,21.738814
ATLAS18swt,336.1015,18.071943
ATLAS18taz,352.471747,27.378021
ATLAS18tbb,226.461333,16.258467
ATLAS18tch,307.050227,-3.13634
ATLAS18tfh,206.663252,-9.643337
ATLAS18tht,243.586174,3.231973
ATLAS18tmf,275.659052,15.696603
ATLAS18tvh,257.54654,21.649087
ATLAS18twh,308.271814,-20.856775
ATLAS18twl,77.889408,-21.269519
ATLAS18tzu,18.825431,-6.859035
ATLAS18uag,351.317423,13.934074
ATLAS18uca,13.845262,30.487512
ATLAS18ucm,239.548772,19.765246
ATLAS18ucy,303.124896,-44.109936
ATLAS18ucz,96.158324,-23.733041
ATLAS18udk,359.928386,34.344458
ATLAS18udq,2.36062,47.354079
ATLAS18uef,204.01578,66.30122
ATLAS18ugc,32.906001,34.04191
ATLAS18ujx,309.365699,-37.721366
ATLAS18ukf,72.477315,-41.938127
ATLAS18ukg,29.431267,35.909756
ATLAS18ukx,12.350779,-20.432595
ATLAS18uxb,315.630363,-5.624993
ATLAS18van,42.032083,21.528629
ATLAS18vft,104.614699,-28.7635
ATLAS18vio,228.546613,-14.349806
ATLAS18vis,34.064903,28.591293
ATLAS18vlu,46.729772,41.509089
ATLAS18voc,66.262553,-14.613279
ATLAS18voe,62.298105,8.647403
ATLAS18vrd,346.885591,23.005805
ATLAS18vre,84.195513,-22.410966
ATLAS18vrq,277.033885,34.304284
ATLAS18vrr,144.622134,76.319922
ATLAS18vtr,43.900127,43.057579
ATLAS18vts,117.790156,62.086688
ATLAS18vyq,354.880162,-3.148647
ATLAS18wbz,66.704071,29.952294
ATLAS18wrq,43.953879,1.07848
ATLAS18wtk,44.08864,-32.185741
ATLAS18wtl,75.192391,-29.858954
ATLAS18wwq,51.23159,-2.822149
ATLAS18xaz,249.065708,66.24025
ATLAS18xml,54.867122,-13.117329
ATLAS18xnd,332.2071,38.151378
ATLAS18xor,115.76943,50.289615
ATLAS18xsq,133.234096,42.41292
ATLAS18xsr,140.823685,42.380138
ATLAS18xtq,354.300388,40.721772
ATLAS18xuo,113.538023,4.549278
ATLAS18yaz,330.393839,-17.462541
ATLAS18yco,39.616049,29.759004
ATLAS18zjj,119.630742,26.120904
ATLAS18zkg,186.550324,58.314147
ATLAS18zkk,125.072237,20.875609
ATLAS18zkl,126.127295,18.604246
ATLAS18zkn,125.740278,27.702876
ATLAS18zmo,49.211297,80.784603
ATLAS18zmp,171.838423,59.630116
ATLAS18zmt,46.512062,-15.611658
ATLAS18zmx,7.834188,30.793047
ATLAS18zna,336.973308,19.46069
ATLAS18zoc,49.484421,-0.169622
ATLAS18zot,40.671985,-0.008831
ATLAS18zro,35.290854,-4.073238
ATLAS18zrw,125.367425,3.164563
ATLAS18zrx,142.729552,-4.571245
ATLAS18zvg,136.15379,-19.785987
ATLAS18zvh,170.888481,-8.651327
ATLAS18zvl,145.632788,7.096077
ATLAS18zvy,144.036421,6.257489
ATLAS19aaj,94.110507,-21.375705
ATLAS19aal,61.263801,25.261941
ATLAS19aar,195.060504,27.956784
ATLAS19aat,240.677001,15.236462
ATLAS19aau,106.148593,17.569599
ATLAS19aaw,179.318372,36.416709
ATLAS19aaz,27.794415,-3.490237
ATLAS19abc,95.591183,29.322916
ATLAS19aep,328.920779,24.90571
ATLAS19ahg,55.580856,30.159108
ATLAS19ahm,192.904903,12.573354
ATLAS19asd,156.822595,26.5331
ATLAS19awe,180.650614,4.549562
ATLAS19bab,157.341566,29.510638
ATLAS19bael,32.37655,-6.967203
ATLAS19bagd,165.569623,44.334811
ATLAS19bagn,168.813843,-27.653284
ATLAS19bakx,155.017249,-37.997805
ATLAS19baky,129.690207,-14.680212
ATLAS19bakz,193.673761,28.942154
ATLAS19bala,6.564553,21.809991
ATLAS19baor,13.59341,31.670221
ATLAS19bati,32.524143,-32.938836
ATLAS19baum,12.920234,-13.318251
ATLAS19bavv,184.927212,-12.225707
ATLAS19bays,143.81012,13.13473
ATLAS19bbfc,203.076619,7.940446
ATLAS19bbhr,46.089368,-16.02413
ATLAS19bbhu,186.68198,56.075799
ATLAS19bbhw,167.255119,-14.636178
ATLAS19bbmq,181.448285,-27.94403
ATLAS19bbmr,166.00093,-18.776507
ATLAS19bbmt,194.859353,27.997477
ATLAS19bbun,104.646692,45.20879
ATLAS19bchy,299.61893,62.13773
ATLAS19bcjh,180.678042,1.984346
ATLAS19bcjk,169.632964,-12.140354
ATLAS19bcrg,199.08642,30.680175
ATLAS19bctg,350.146561,-0.880854
ATLAS19bcyv,176.538457,20.447704
ATLAS19bdc,48.05629,67.409715
ATLAS19bdcc,208.230622,3.028967
ATLAS19bdcu,217.283878,27.450232
ATLAS19bddm,214.222775,10.797864
ATLAS19bdho,32.904545,34.041365
ATLAS19bdir,141.966152,68.411822
ATLAS19bdm,345.730065,8.40283
ATLAS19bdst,229.499568,13.526278
ATLAS19bdsz,158.959773,-34.272692
ATLAS19bdtf,40.890124,-38.6252
ATLAS19bdu,34.498386,14.533477
ATLAS19beci,40.997888,32.528347
ATLAS19beck,152.734936,1.071472
ATLAS19becv,59.594691,6.71541
ATLAS19benc,191.283906,-0.459074
ATLAS19bfk,190.65169,-40.746326
ATLAS19bfl,204.181652,-31.836638
ATLAS19bfni,186.840994,64.799937
ATLAS19bfnp,203.833153,7.468987
ATLAS19bfod,214.133889,57.807989
ATLAS19bfsp,158.770095,46.560663
ATLAS19bfsq,184.880197,49.814214
ATLAS19bfsr,44.163823,47.526367
ATLAS19bfss,94.376892,62.491078
ATLAS19bfst,118.571979,14.273127
ATLAS19bfsu,6.094199,38.197357
ATLAS19bfsv,29.711599,-9.58484
ATLAS19bfsw,234.658839,36.958648
ATLAS19bfsx,334.020751,-26.678561
ATLAS19bfsy,331.906929,22.061155
ATLAS19bfta,9.89579,0.867864
ATLAS19bftb,221.883498,-19.766008
ATLAS19bftc,211.506629,12.780688
ATLAS19bftd,288.152806,-19.417088
ATLAS19bfte,263.521363,-14.808853
ATLAS19bftf,305.371822,59.740645
ATLAS19bfth,305.869669,-47.17489
ATLAS19bfti,231.185317,68.728787
ATLAS19bftj,78.941285,34.229417
ATLAS19boq,180.652512,41.061642
ATLAS19bqg,203.811193,44.766291
ATLAS19bqp,198.596115,30.485189
ATLAS19buf,7.372497,-13.478537
ATLAS19buw,235.488781,0.710943
ATLAS19bvw,184.273575,-26.629061
ATLAS19bzl,202.426633,47.187979
ATLAS19bzm,102.607564,43.053323
ATLAS19car,162.799042,5.842
ATLAS19cas,202.950074,-2.608605
ATLAS19cbm,153.178674,39.373932
ATLAS19cdi,66.705502,29.951595
ATLAS19cdj,180.428886,20.403809
ATLAS19cfn,220.387208,48.203955
ATLAS19cqs,159.409977,37.458262
ATLAS19ddt,227.186576,18.930506
ATLAS19ded,162.927279,18.481339
ATLAS19dfz,225.354558,-13.791221
ATLAS19dhf,45.293417,41.396124
ATLAS19djd,93.291817,50.44137
ATLAS19djo,217.569484,-43.561415
ATLAS19dkt,246.109496,82.794904
ATLAS19dkv,57.836196,-18.313775
ATLAS19dlh,148.583553,-6.48855
ATLAS19dli,157.327186,6.122743
ATLAS19dpl,92.708335,35.647087
ATLAS19dqg,61.942566,-29.859483
ATLAS19dqr,150.093949,-3.020155
ATLAS19dqw,197.239067,28.281234
ATLAS19dqz,176.107584,19.713211
ATLAS19drc,248.086321,19.840119
ATLAS19dwe,149.916303,35.395116
ATLAS19dzb,102.826868,49.883571
ATLAS19dzg,234.967353,-44.595789
ATLAS19dzh,212.823205,-25.03601
ATLAS19dzi,162.110045,-45.692047
ATLAS19dzj,190.991041,-45.595829
ATLAS19dzk,44.682802,6.81891
ATLAS19dzu,35.839855,53.394972
ATLAS19dzx,271.538189,65.346344
ATLAS19eae,70.272338,73.673058
ATLAS19ebv,114.156316,74.446548
ATLAS19ejd,175.197867,17.792142
ATLAS19ejh,183.416013,16.123479
ATLAS19eme,202.207484,10.382298
ATLAS19emj,221.447855,50.396777
ATLAS19esm,247.725283,46.588478
ATLAS19eso,280.796388,-41.411215
ATLAS19etb,169.530908,75.147381
ATLAS19geq,146.386119,4.933914
ATLAS19ggw,207.637915,35.130654
ATLAS19ghv,169.450797,13.72823
ATLAS19gne,169.450784,13.728227
ATLAS19gnx,186.595455,71.563665
ATLAS19hhj,343.707718,36.543545
ATLAS19hln,193.409213,-26.292053
ATLAS19hlq,300.167541,-34.795289
ATLAS19hlr,289.089556,-40.129119
ATLAS19hlt,293.092139,-29.38561
ATLAS19hsc,277.201737,50.373192
ATLAS19hsj,206.715641,16.281615
ATLAS19hso,101.664302,45.647718
ATLAS19htk,187.778698,0.465187
ATLAS19htt,163.674283,-21.066953
ATLAS19ibr,185.733944,15.826147
ATLAS19ibs,182.964944,24.136598
ATLAS19ieo,208.371341,40.275388
ATLAS19ify,280.678787,40.368899
ATLAS19igh,121.786566,-28.053234
ATLAS19ims,137.398493,29.970704
ATLAS19ina,143.698788,10.287021
ATLAS19jhd,277.620952,74.121052
ATLAS19jyn,338.656281,0.17573
ATLAS19kdv,324.634113,-4.703378
ATLAS19kig,316.349169,19.742882
ATLAS19kle,204.054218,38.355051
ATLAS19klt,202.75529,34.153553
ATLAS19kvn,121.783508,-28.05643
ATLAS19lhw,154.846906,44.408556
ATLAS19lii,165.969185,-3.336976
ATLAS19ljy,155.33737,12.178203
ATLAS19lri,196.826792,2.00323
ATLAS19lsc,309.230152,2.806814
ATLAS19ltf,348.816927,19.04162
ATLAS19ltg,192.511749,-14.766698
ATLAS19lto,224.137027,-2.106449
ATLAS19ltp,135.099495,25.61405
ATLAS19mau,328.991831,27.899005
ATLAS19mbg,219.438325,52.72667
ATLAS19mco,251.647964,-31.591915
ATLAS19mdz,172.243399,22.089587
ATLAS19mec,359.127411,-3.102333
ATLAS19mgv,218.460497,-34.877935
ATLAS19mhb,359.346483,30.990652
ATLAS19mhd,283.89358,-41.742077
ATLAS19mml,12.603725,-12.095187
ATLAS19mra,170.266765,31.249422
ATLAS19msv,357.268057,57.672365
ATLAS19mtc,267.433148,48.459996
ATLAS19muh,279.956035,-38.15413
ATLAS19mwn,27.191334,20.26809
ATLAS19mza,357.475937,2.708341
ATLAS19ndl,355.792694,-2.949687
ATLAS19ndx,21.645166,51.721371
ATLAS19nev,13.965743,43.490023
ATLAS19nhp,193.887575,32.206001
ATLAS19njc,18.601601,-7.475432
ATLAS19nkr,173.845166,-21.715232
ATLAS19nqt,214.491074,26.421588
ATLAS19nro,264.234124,21.104889
ATLAS19nsb,334.691247,-36.801693
ATLAS19oea,357.765162,20.145504
ATLAS19oif,183.544523,-0.845991
ATLAS19oij,16.625878,-2.198973
ATLAS19oil,17.585098,-9.574763
ATLAS19omc,243.980161,68.355839
ATLAS19omd,16.67579,49.234423
ATLAS19omf,22.793744,43.622599
ATLAS19pau,260.922204,52.010088
ATLAS19pbu,190.088024,1.274017
ATLAS19pch,49.469563,-7.303235
ATLAS19pfa,286.318193,27.007092
ATLAS19pfc,41.729833,-24.806632
ATLAS19pgt,69.414329,-4.878885
ATLAS19ppn,41.584454,44.955117
ATLAS19ppr,294.246405,-11.953793
ATLAS19qdz,244.6606,21.972987
ATLAS19rit,257.774114,5.852031
ATLAS19rqi,36.577143,-9.835923
ATLAS19rzt,55.26216,34.652082
ATLAS19spe,261.411093,59.446732
ATLAS19ssp,16.905028,-41.85343
ATLAS19suf,57.58972,41.161954
ATLAS19swe,343.987575,-43.438513
ATLAS19swf,29.684878,-25.802781
ATLAS19swj,23.40383,-38.599726
ATLAS19swt,297.03986,-24.443427
ATLAS19syc,3.813323,-8.189401
ATLAS19tgt,69.726359,18.836167
ATLAS19thw,346.829519,13.855958
ATLAS19tjc,304.988197,15.377529
ATLAS19tju,62.577988,13.404132
ATLAS19tva,267.803228,51.382531
ATLAS19tws,54.723691,66.295068
ATLAS19txb,327.658138,36.456983
ATLAS19ufz,77.905205,67.496015
ATLAS19ugb,108.621639,61.289564
ATLAS19ump,225.934324,-3.296411
ATLAS19urn,271.168098,21.63452
ATLAS19uro,258.645089,28.123929
ATLAS19uui,106.996889,31.66541
ATLAS19uvb,49.599149,-1.930474
ATLAS19uve,48.826498,42.695555
ATLAS19uvh,18.157816,33.034926
ATLAS19uzk,235.376375,15.784273
ATLAS19uzn,44.94574,15.296848
ATLAS19vdd,128.855733,23.527655
ATLAS19vdq,277.307541,41.042353
ATLAS19vfe,105.458819,4.919418
ATLAS19vfr,71.657829,-10.226324
ATLAS19vnt,45.001762,30.988418
ATLAS19vnv,94.092591,-21.35992
ATLAS19whk,13.740254,-37.644432
ATLAS19wqg,345.572594,15.941042
ATLAS19wtn,83.817722,13.551144
ATLAS19wwd,33.204936,-6.701677
ATLAS19xas,125.88732,21.340218
ATLAS19xjn,234.43636,22.426898
ATLAS19xkp,10.48975,-38.592479
ATLAS19xqi,124.962028,-14.715283
ATLAS19xvz,139.78152,-6.699948
ATLAS19yex,112.209416,35.547516
ATLAS19ygo,322.853007,2.494171
ATLAS19yhh,150.726625,-6.207234
ATLAS19yhi,148.338568,0.696798
ATLAS19yjq,47.134268,-10.040758
ATLAS19yjr,143.796228,48.718181
ATLAS19yjx,140.14068,64.073032
ATLAS19ylm,352.733894,15.49168
ATLAS19ylt,131.119386,-31.690436
ATLAS19ysh,232.631893,82.44902
ATLAS19ysj,334.545651,45.719451
ATLAS19yst,4.98603,15.093381
ATLAS19ysu,25.715887,-6.147444
ATLAS19yui,164.315667,-5.119593
ATLAS19yvk,144.285898,9.465425
ATLAS19yyo,73.791019,-16.150403
ATLAS19zbn,325.97271,-10.18393
ATLAS19zie,120.708031,15.801538
ATLAS19zjs,266.620757,30.706893
ATLAS19zjt,329.501171,24.265883
ATLAS19zjy,334.932307,36.409784
ATLAS19zpd,35.772017,46.882449
ATLAS19zsy,167.136625,-10.481768
ATLAS19zsz,170.714586,-7.590281
ATLAS19zta,177.113818,12.727229
ATLAS19ztf,178.257771,-6.064011
ATLAS19ztg,160.244833,65.515575
ATLAS19zth,155.646706,43.848907
ATLAS19zti,175.190678,5.139741
ATLAS19ztj,155.676364,46.245261
ATLAS19ztm,28.296657,4.196376
ATLAS19zud,168.306007,44.779121
ATLAS19zzk,10.213651,2.840448
ATLAS19zzz,157.20196,-31.497799
ATLAS20abb,216.080124,-16.372032
ATLAS20abd,158.685691,11.052069
ATLAS20abe,165.023886,-16.107107
ATLAS20app,209.486686,-29.285383
ATLAS20arp,41.328657,-17.7051
ATLAS20ate,328.856077,34.510598
ATLAS20atf,338.350123,11.5123
ATLAS20atq,185.728851,15.823627
ATLAS20atr,72.147619,-4.822118
ATLAS20ats,20.489414,50.046648
ATLAS20atu,19.842412,62.334042
ATLAS20aup,190.694928,2.659522
ATLAS20auq,182.904167,0.322314
ATLAS20aur,177.226824,-4.681647
ATLAS20aut,234.731213,4.578077
ATLAS20aux,147.012135,3.538242
ATLAS20avl,139.524696,-15.812419
ATLAS20avo,55.679481,-43.304601
ATLAS20avp,32.143354,29.235707
ATLAS20avu,60.279896,31.812955
ATLAS20avv,10.406853,-3.25343
ATLAS20bku,194.270624,29.088737
ATLAS20bmm,142.165267,38.563094
ATLAS20caf,210.910989,-33.977233
ATLAS20clv,245.474561,38.929757
ATLAS20cvy,175.874033,-16.798125
ATLAS20cwv,225.47778,25.966403
ATLAS20cyz,267.094846,54.151474
ATLAS20cza,150.287761,-19.441704
ATLAS20ecp,212.555578,-6.822433
ATLAS20efg,159.313654,-41.624715
ATLAS20efm,193.684251,-39.852649
ATLAS20ejr,191.496012,-33.833464
ATLAS20enf,201.623545,36.008665
ATLAS20eqs,75.315848,-14.02453
ATLAS20eqz,163.798741,-26.140144
ATLAS20era,181.936457,-32.013434
ATLAS20etm,208.907016,40.477552
ATLAS20etr,264.871521,68.792419
ATLAS20exn,10.289857,16.461567
ATLAS20fnd,183.654507,24.304366
ATLAS20fnl,66.034021,-27.079887
ATLAS20fpl,188.755384,-5.488571
ATLAS20fte,269.048876,62.757076
ATLAS20fvo,48.081776,41.282257
ATLAS20gef,72.511821,82.648519
ATLAS20geg,68.356546,-4.265815
ATLAS20ghu,290.283997,43.328662
ATLAS20gso,23.277855,-9.780167
ATLAS20hcv,187.036215,20.178224
ATLAS20hfc,192.646166,40.977638
ATLAS20hgk,112.047893,72.578195
ATLAS20hgw,279.463064,37.470929
ATLAS20hgz,261.621925,71.094088
ATLAS20hhc,148.646416,-19.887306
